object name,library name,text,rodata,data,bss,code,flash,ram
hal_delay.c.obj,lib\libhal.a,112,0,0,0,112,112,0
portASM.S.obj,lib\libkernel.a,780,0,0,0,780,780,0
port.c.obj,lib\libkernel.a,260,8,0,16,268,268,16
hal_chip_armv7a.c.obj,lib\libhal.a,1542,0,8,1101,1542,1550,1109
osi_blue_screen.c.obj,lib\libkernel.a,404,0,0,149,404,404,149
osi_irq_gic.c.obj,lib\libkernel.a,1048,0,0,1896,1048,1048,1896
osi_profile.c.obj,lib\libkernel.a,540,0,0,49188,540,540,49188
audio_device.c.obj,lib\libaudio.a,17450,239,12,40370,17689,17701,40382
drv_spi_flash.c.obj,lib\libdriver.a,2598,0,136,8,2598,2734,144
drv_md_ipc.c.obj,lib\libdriver_core_V2.a,4722,9,0,28,4731,4731,28
hal_spi_flash.c.obj,lib\libhal.a,2472,25,0,8,2497,2497,8
hal_wdt.c.obj,lib\libhal.a,116,0,0,0,116,116,0
ps_osiapi.o,lib\modem_lte_lib.a,2704,30,0,25044,2734,2734,25044
epdc_wb_lte.o,lib\modem_lte_lib.a,15964,38,43,24658,16002,16045,24701
vsi_lib_amrwb_sym_file.o,lib\libvsi_amrwb.a,76476,26050,23072,0,102526,125598,23072
lib_a-abs.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,8,0,0,0,8,8,0
lib_a-access.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,44,0,0,0,44,44,0
lib_a-aeabi_memclr.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,8,0,0,0,8,8,0
lib_a-aeabi_memcpy.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,4,0,0,0,4,4,0
lib_a-aeabi_memmove-soft.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,58,0,0,0,58,58,0
lib_a-aeabi_memset-soft.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,154,0,0,0,154,154,0
lib_a-atof.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,6,0,0,0,6,6,0
lib_a-atoi.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,8,0,0,0,8,8,0
lib_a-atol.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,8,0,0,0,8,8,0
lib_a-bsearch.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,70,0,0,0,70,70,0
lib_a-ctype_.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,0,257,0,0,257,257,0
lib_a-div.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,48,0,0,0,48,48,0
lib_a-dtoa.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,2934,13,0,0,2947,2947,0
lib_a-envlock.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,24,0,0,0,24,24,0
lib_a-errno.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,8,0,0,0,8,8,0
lib_a-fclose.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,186,0,0,0,186,186,0
lib_a-fflush.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,402,0,0,0,402,402,0
lib_a-findfp.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,404,0,0,0,404,404,0
lib_a-flags.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,108,0,0,0,108,108,0
lib_a-fopen.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,190,0,0,0,190,190,0
lib_a-fputc.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,92,0,0,0,92,92,0
lib_a-fputwc.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,212,0,0,0,212,212,0
lib_a-fread.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,242,0,0,0,242,242,0
lib_a-fseek.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,30,0,0,0,30,30,0
lib_a-fseeko.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,664,0,0,0,664,664,0
lib_a-ftell.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,18,0,0,0,18,18,0
lib_a-ftello.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,192,0,0,0,192,192,0
lib_a-fvwrite.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,660,0,0,0,660,660,0
lib_a-fwalk.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,124,0,0,0,124,124,0
lib_a-fwrite.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,186,0,0,0,186,186,0
lib_a-gdtoa-gethex.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,1316,0,0,0,1316,1316,0
lib_a-gdtoa-hexnan.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,388,0,0,0,388,388,0
lib_a-getenv.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,20,0,0,0,20,20,0
lib_a-getenv_r.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,130,0,0,0,130,130,0
lib_a-getreent.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,12,0,0,0,12,12,0
lib_a-gettzinfo.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,8,0,88,0,8,96,88
lib_a-gmtime.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,22,0,0,0,22,22,0
lib_a-gmtime_r.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,412,0,0,0,412,412,0
lib_a-impure.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,0,4,1068,0,4,1072,1068
lib_a-iswspace.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,6,0,0,0,6,6,0
lib_a-iswspace_l.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,20,0,0,0,20,20,0
lib_a-lnumeric.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,0,15,2,0,15,17,2
lib_a-locale.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,12,8,364,0,20,384,364
lib_a-localeconv.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,8,0,0,0,8,8,0
lib_a-lock.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,12,0,0,9,12,12,9
lib_a-makebuf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,210,0,0,0,210,210,0
lib_a-mbrtowc.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,52,1,0,0,53,53,0
lib_a-mbstowcs.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,28,0,0,0,28,28,0
lib_a-mbtowc_r.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,36,0,0,0,36,36,0
lib_a-memchr.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,232,0,0,0,232,232,0
lib_a-memcmp.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,92,0,0,0,92,92,0
lib_a-memcpy-stub.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,200,0,0,0,200,200,0
lib_a-memmove.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,212,0,0,0,212,212,0
lib_a-memset.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,168,0,0,0,168,168,0
lib_a-mktime.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,1212,96,0,0,1308,1308,0
lib_a-month_lengths.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,0,96,0,0,96,96,0
lib_a-mprec.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,2090,252,0,0,2342,2342,0
lib_a-printf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,36,0,0,0,36,36,0
lib_a-putc.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,104,0,0,0,104,104,0
